OBJECTID,TREE_Genus,TREE_SpeciesCommonName,TREE_SpeciesLatinName,TREE_DBH,TREE_DBH_Range,TREE_Height_Range,TREE_Stems,TREE_Condition,TREE_PrimaryMaint,TREE_SecondaryMaint,TREE_FurtherInspection,TREE_ClearanceNeed,TREE_PruneType,TREE_Pest,TREE_OBS1,TREE_OBS2,TREE_OBS3,TREE_OBS4,TREE_OBS5,TREE_OBS6,TREE_OBS7,TREE_OBS8,TREE_OBS9,TREE_OBS10,TREE_OBS11,TREE_OBS12,TREE_OBS13,TREE_Notes,SITE_Building,SITE_DirectionBldg,SITE_Address,SITE_Street,SITE_Utilities,SITE_GPSX,SITE_GPSY,SITE_ID,SITE_DATE,TYPE,TREE_OBS14,TREE_OBS15,TREE_OBS16,TREE_OBS17,TREE_OBS18,TREE_OBS19,TREE_OBS20,TREE_OBS21,TREE_SpCode,TREE_ReplacementCost,TREE_StructuralValue,TREE_Stormwater,TREE_Energy,TREE_AirQuality,TREE_Carbon,TREE_Aesthetic,TREE_TotalBenefit,x,y
17,Hickory,Pecan,Carya illinoinensis,14,4,2,1,2,1,0,,0,2,,,,,,,,,,,,,1,0,"epicormic sprouts, drought damage",Sewell Theatre,2,1602,Campus Ct,0,-99.7111,32.4661,11,5/2/2014 17:08,0,,,,0,1,1,1,,CAIL,12735,450,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71108754,32.46613975
18,,Arizona ash,Fraxinus velutina,31,7,2,1,2,1,1,,5,2,,,,,,,,,,,,,,,,Sewell Theatre,2,1618,Campus Ct,0,-99.7109,32.4662,12,5/2/2014 17:25,0,,,1,1,1,,1,,FRVE,62460,19112.76,71.88999939,20.34000015,8.170000076,0.779999971,89.44000244,190.6300049,-99.71090783,32.46615786
19,Hickory,Pecan,Carya illinoinensis,16,4,2,1,2,1,1,,5,2,,1,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1618,Campus Ct,0,-99.7108,32.4661,13,5/2/2014 17:25,0,,,0,1,1,0,1,,CAIL,16635,5090.31,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71079518,32.46613749
20,Hickory,Pecan,Carya illinoinensis,22,5,2,1,2,1,0,,0,2,,0,,,,,,,,,,,,,"epicormic sprouts, drought damage",Sewell Theatre,2,1618,Campus Ct,0,-99.7108,32.4662,14,5/2/2014 17:25,0,,,0,1,1,0,1,,CAIL,31455,450,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71081664,32.46623933
21,Holly,Yaupon holly,Ilex vomitoria,5,2,0,2,2,0,1,,3,2,,0,,,,,,,,,,,1,1,,Sewell Theatre,2,1618,Campus Ct,0,-99.711,32.4663,15,5/2/2014 17:25,0,,,0,1,0,0,0,,ILVO,1620,450,1.220000029,1.200000048,0.709999979,0.25,0.790000021,4.170000076,-99.71100707,32.46633664
22,Holly,Yaupon holly,Ilex vomitoria,3,2,0,1,2,0,1,,3,2,,0,,,,,,,,,,,1,1,,Sewell Theatre,2,1618,Campus Ct,0,-99.7109,32.4663,16,5/2/2014 17:25,0,,,0,0,0,0,0,,ILVO,580,450,1.220000029,1.200000048,0.709999979,0.25,0.790000021,4.170000076,-99.7109427,32.46634795
23,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,2,1,0,3,2,0,0,,0,0,,0,,,,,,,,,,,1,1,,Sewell Theatre,2,1618,Campus Ct,0,-99.711,32.4663,17,5/2/2014 17:25,0,,,0,0,0,0,0,,LA6,255,450,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.71097489,32.46633664
24,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,1,1,0,10,2,0,0,,0,0,,0,,,,,,,,,,,1,1,,Sewell Theatre,2,1618,Campus Ct,0,-99.7109,32.4664,18,5/2/2014 17:25,0,,,0,0,0,0,0,,LA6,60,24.48,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.71090247,32.46635021
25,Pine,Austrian pine,Pinus nigra,15,4,1,1,2,0,1,,5,2,,0,,,,,,,,,,,0,0,,Sewell Theatre,2,1618,Campus Ct,0,-99.7107,32.4663,19,5/2/2014 17:25,0,,,0,0,0,0,0,,PINI,14620,450,14.18000031,6.949999809,4.059999943,1.74000001,9.029999733,35.97000122,-99.71067448,32.46627553
26,Pine,Austrian pine,Pinus nigra,16,4,2,1,2,0,0,,0,0,,0,,,,,,,,,,,0,0,poor branch structure,Sewell Theatre,2,1618,Campus Ct,0,-99.7106,32.4662,20,5/2/2014 17:25,0,,,0,0,0,0,0,,PINI,16635,450,14.18000031,6.949999809,4.059999943,1.74000001,9.029999733,35.97000122,-99.71062083,32.46622349
27,Pine,Austrian pine,Pinus nigra,14,4,1,1,2,0,0,,0,0,,0,,,,,,,,,,,1,0,,Sewell Theatre,2,1618,Campus Ct,0,-99.7106,32.4662,21,5/2/2014 17:25,0,,,0,0,1,0,0,,PINI,12735,7793.82,14.18000031,6.949999809,4.059999943,1.74000001,9.029999733,35.97000122,-99.71061547,32.46618049
28,Oak,Live oak,Quercus virginiana,19,5,2,1,2,0,1,,5,2,,,,,,,,,,,,,,,lean,Sewell Theatre,2,1602,Campus Ct,0,-99.7108,32.4659,22,5/2/2014 18:29,0,,,,,1,,,,QUVI,23460,450,61.29999924,17.55999947,-8.020000458,5.650000095,96.02999878,172.5299988,-99.71084614,32.4659474
29,Oak,Live oak,Quercus virginiana,7,3,0,1,2,3,1,,5,2,,,,,,,,,,,,1,,1,,Education Building,1,,Campus Center Rd,0,-99.7081,32.4678,23,5/2/2014 21:51,0,,,1,,1,,,,QUVI,3180,1946.16,9.149999619,4.820000172,0.200000003,1.690000057,46.43999863,62.31000137,-99.70814784,32.46777137
30,Pistacia,Chinese pistache,Pistacia chinensis,7,3,1,1,2,3,0,,0,2,,,,,,,,,,,,0,,1,,Education Building,3,,Campus Center Rd,0,-99.7083,32.4676,24,5/2/2014 21:51,0,,,0,1,1,,,,PICH,3180,450,13.14000034,7.679999828,2.910000086,2.349999905,30.22999954,56.33000183,-99.70832755,32.46762201
31,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,3,2,0,4,4,4,0,,5,0,,,,,,,,,1,,,0,,1,dead,Education Building,3,,Campus Center Rd,0,-99.7082,32.4676,25,5/2/2014 21:51,0,,,0,,1,,,,LA6,580,177.48,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.70815052,32.46763785
32,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,1,1,0,3,4,4,0,,0,0,,,,,,,,,1,,,0,,1,,Education Building,3,,Campus Center Rd,0,-99.7081,32.4676,26,5/2/2014 21:51,0,,,0,,1,,,,LA6,60,18.36,0.430000007,0.49000001,0.170000002,0.029999999,0.360000014,1.480000019,-99.70814247,32.46759712
33,Oak,Live oak,Quercus virginiana,9,3,1,1,2,3,1,,5,2,,,,,,,,,0,,,0,,1,,Bennett Gymnasium,1,,Campus Center Rd,0,-99.7082,32.4675,27,5/2/2014 21:51,0,,,1,,1,,,,QUVI,5260,3219.12,9.149999619,4.820000172,0.200000003,1.690000057,46.43999863,62.31000137,-99.70815588,32.46746134
34,Oak,Live oak,Quercus virginiana,10,3,1,1,2,3,1,,5,2,,,,,,,,,,,,,,,,Bennett Gymnasium,4,,Campus Center Rd,0,-99.7086,32.4674,28,5/2/2014 22:09,0,,,,1,1,,,,QUVI,6495,2649.96,9.149999619,4.820000172,0.200000003,1.690000057,46.43999863,62.31000137,-99.70860381,32.46743418
35,Holly,Yaupon holly,Ilex vomitoria,3,2,0,4,2,0,0,,0,0,,,,,,,,,,,,,1,1,,Education Building,2,,Campus Center Rd,0,-99.7086,32.4675,29,5/2/2014 22:09,0,,,,0,1,,,,ILVO,580,450,1.220000029,1.200000048,0.709999979,0.25,0.790000021,4.170000076,-99.70864673,32.46747944
36,Holly,Yaupon holly,Ilex vomitoria,3,2,0,3,2,0,1,,3,2,,,,,,,,,,,,,1,1,,Education Building,2,,Campus Center Rd,0,-99.7087,32.4675,30,5/2/2014 22:09,0,,,,0,1,,,,ILVO,580,266.22,1.220000029,1.200000048,0.709999979,0.25,0.790000021,4.170000076,-99.70865209,32.46748397
37,Vitex,Desert willow,Chilopsis linearis,4,2,0,3,2,0,1,,3,2,,,,,,,,,,,,,1,1,thinning canopy,Chambers Hall,2,,,0,-99.7093,32.467,31,5/3/2014 14:03,0,,,,1,1,,,,CHLI,1035,422.28,2.5,2.00999999,0.800000012,0.49000001,4.599999905,10.39999962,-99.70927705,32.46698838
38,Vitex,Desert willow,Chilopsis linearis,6,3,0,2,2,0,1,,5,2,,,,,,,,,,,,,0,0,thinning canopy,Chambers Hall,2,,,0,-99.7093,32.467,32,5/3/2014 14:03,0,,,,1,1,,,,CHLI,2335,1429.02,5.909999847,4.340000153,1.730000019,1.269999981,7.699999809,20.95000076,-99.70930655,32.46700648
39,Holly,Yaupon holly,Ilex vomitoria,9,3,1,2,2,0,1,,3,2,,,,,,,,,,,,,1,0,,Foster Science Building,3,,,0,-99.7097,32.4672,33,5/3/2014 14:03,0,,,,0,1,,,,ILVO,5260,2146.08,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.70972766,32.46718299
40,Oak,Live oak,Quercus virginiana,17,4,2,1,2,1,0,,0,3,,,,,,,,,,,,1,0,0,,Foster Science Building,3,,,0,-99.7096,32.4672,34,5/3/2014 14:03,0,,,,0,1,,,,QUVI,18780,8620.02,30.86000061,11.31000042,-2.720000029,3.660000086,77.51999664,120.6299973,-99.70957477,32.46721241
41,Oak,Live oak,Quercus virginiana,25,6,2,1,2,1,0,,0,3,,,,,,,,,,,,1,1,1,,Foster Science Building,3,,,0,-99.7096,32.4673,35,5/3/2014 14:03,0,,,1,0,1,,,,QUVI,40620,5524.32,97.93000031,25.13999939,-14.35999966,7.909999847,104.8600006,221.4799957,-99.70964451,32.4672984
42,Oak,Live oak,Quercus virginiana,22,5,2,1,2,1,0,,0,2,,,,1,,,,,,,,1,1,0,,Foster Science Building,3,,,0,-99.7096,32.4674,36,5/3/2014 14:03,0,,,1,1,1,,,,QUVI,31455,14437.845,61.29999924,17.55999947,-8.020000458,5.650000095,96.02999878,172.5299988,-99.7095855,32.46735724
43,Oak,Live oak,Quercus virginiana,25,6,2,1,2,1,0,,0,2,,,,0,,,,,,,,1,0,0,,Foster Science Building,1,,,0,-99.7096,32.4675,37,5/3/2014 14:03,0,,,0,1,1,,,,QUVI,40620,16572.96,97.93000031,25.13999939,-14.35999966,7.909999847,104.8600006,221.4799957,-99.70961501,32.46746134
44,Oak,Live oak,Quercus virginiana,24,6,2,1,2,0,0,,0,0,,1,,0,,,,,,,,0,0,0,large wound near base,Foster Science Building,1,,,0,-99.7098,32.4675,38,5/3/2014 14:03,0,,,1,0,1,,,,QUVI,37435,22910.22,97.93000031,25.13999939,-14.35999966,7.909999847,104.8600006,221.4799957,-99.70982154,32.46746134
45,Holly,Yaupon holly,Ilex vomitoria,10,3,1,7,2,0,0,,0,0,,0,,0,,,,,,,,0,1,0,,Foster Science Building,1,,,0,-99.7097,32.4673,39,5/3/2014 14:03,0,,,0,1,1,,,,ILVO,6495,1766.64,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.70972229,32.46734593
46,Holly,Yaupon holly,Ilex vomitoria,9,3,1,5,2,0,0,,0,0,,0,,0,,,,,,,,0,1,1,,Foster Science Building,1,,,0,-99.7099,32.4673,40,5/3/2014 14:03,0,,,0,1,1,,,,ILVO,5260,3219.12,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.70989664,32.46734366
47,Holly,Yaupon holly,Ilex vomitoria,10,3,1,5,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Foster Science Building,4,,,0,-99.7099,32.4672,41,5/3/2014 14:03,0,,,0,0,1,,,,ILVO,6495,1766.64,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.709902,32.46719204
48,Oak,Live oak,Quercus virginiana,30,7,2,1,2,0,0,,0,0,,0,,0,,,,,,,,1,1,0,cables and bracing recommended  large seam forming and could split,Foster Science Building,4,,,0,-99.71,32.4672,42,5/3/2014 14:03,0,1,,0,1,1,,,,QUVI,58495,17899.47,138.3800049,32.43999863,-21.54999924,9.949999809,103.9199982,263.1400146,-99.70999856,32.4672373
49,Oak,Live oak,Quercus virginiana,29,6,2,1,2,1,0,,0,2,,0,,0,,,,,,,,1,0,1,,Hardin Administration Building,3,,,0,-99.7102,32.4672,43,5/3/2014 14:03,0,0,,0,1,1,,,,QUVI,54660,450,97.93000031,25.13999939,-14.35999966,7.909999847,104.8600006,221.4799957,-99.71022923,32.46723278
50,Oak,Live oak,Quercus virginiana,21,5,2,1,2,1,4,,0,2,,0,,0,,,,,,,,0,0,1,large wounds in canopy and basal area; topped repeatedly,Hardin Administration Building,3,,,0,-99.7103,32.4674,44,5/3/2014 14:03,0,0,,0,1,1,1,,,QUVI,28660,13154.94,61.29999924,17.55999947,-8.020000458,5.650000095,96.02999878,172.5299988,-99.7102641,32.4673595
51,Oak,Arizona cypress,Cupressus arizonica,18,5,2,1,2,0,5,,2,2,,0,,0,,,,,,,,0,0,0,"poor architecture, roots lifting concrete drain",Hardin Administration Building,3,,,0,-99.7103,32.4675,45,5/3/2014 14:03,0,0,,0,0,1,0,,,CUAR,21055,450,48.27000046,16.73999977,6.679999828,9.899999619,70.59999847,152.1900024,-99.71030702,32.46748171
52,Oak,Arizona cypress,Cupressus arizonica,19,5,2,1,2,0,5,,2,2,,0,,0,,,,,,,,0,0,0,poor architecture,Hardin Administration Building,3,,,0,-99.7103,32.4676,46,5/3/2014 14:03,0,0,,0,0,0,0,,,CUAR,23460,450,48.27000046,16.73999977,6.679999828,9.899999619,70.59999847,152.1900024,-99.71031506,32.46762201
53,Oak,Live oak,Quercus virginiana,22,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"thinning canopy, topped repeatedly",Hardin Administration Building,3,,,0,-99.7102,32.4676,47,5/3/2014 14:03,0,0,,1,0,1,1,,,QUVI,31455,450,61.29999924,17.55999947,-8.020000458,5.650000095,96.02999878,172.5299988,-99.71022655,32.46760843
54,Oak,Live oak,Quercus virginiana,21,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,,Hardin Administration Building,1,,,0,-99.7103,32.4677,48,5/3/2014 14:03,0,0,,0,0,1,0,,,QUVI,28660,11693.28,61.29999924,17.55999947,-8.020000458,5.650000095,96.02999878,172.5299988,-99.7103097,32.46772158
55,Oak,Live oak,Quercus virginiana,18,5,2,1,2,0,0,,0,0,,0,,0,,,,,,,,0,0,0,,Hardin Administration Building,1,,,0,-99.7104,32.4677,49,5/3/2014 14:03,0,0,,1,0,1,0,,,QUVI,21055,9664.245,61.29999924,17.55999947,-8.020000458,5.650000095,96.02999878,172.5299988,-99.71038748,32.46771027
56,Holly,Yaupon holly,Ilex vomitoria,7,3,1,4,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7104,32.4677,50,5/3/2014 14:03,0,0,,0,0,1,0,,,ILVO,3180,1297.44,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.7104143,32.46766048
57,Holly,Yaupon holly,Ilex vomitoria,10,3,1,4,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7104,32.4677,51,5/3/2014 14:03,0,0,,0,0,1,0,,,ILVO,6495,2981.205,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.71044917,32.46765369
58,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,4,2,0,2,2,0,1,,3,2,,0,,0,,,,,,,,0,1,0,,Hardin Administration Building,1,,,0,-99.7105,32.4677,52,5/3/2014 14:03,0,0,,0,0,0,0,,,LA6,1035,422.28,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.71054573,32.46766501
59,Holly,Yaupon holly,Ilex vomitoria,5,2,1,3,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7106,32.4677,53,5/3/2014 14:03,0,0,,0,0,0,0,,,ILVO,1620,660.96,1.220000029,1.200000048,0.709999979,0.25,0.790000021,4.170000076,-99.71058597,32.46766048
60,Holly,Yaupon holly,Ilex vomitoria,12,4,1,6,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7106,32.4677,54,5/3/2014 14:03,0,0,,0,1,1,0,,,ILVO,9355,3816.84,13.77000046,6.869999886,4.650000095,1.720000029,10.22000027,37.24000168,-99.7106262,32.46766274
61,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,6,3,0,5,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7107,32.4677,55,5/3/2014 14:03,0,0,,0,1,1,0,,,LA6,2335,952.68,4.710000038,3.839999914,1.389999986,0.660000026,8.539999962,19.13999939,-99.71067984,32.46766953
62,Crapemyrtle,Common crapemyrtle,Lagerstroemia spp,4,2,0,3,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7108,32.4677,56,5/3/2014 14:03,0,0,,0,0,1,0,,,LA6,1035,475.065,1.529999971,1.409999967,0.50999999,0.200000003,3.109999895,6.769999981,-99.7107764,32.46765595
63,Holly,Yaupon holly,Ilex vomitoria,6,3,0,4,2,0,1,,3,2,,0,,0,,,,,,,,0,1,1,,Hardin Administration Building,1,,,0,-99.7108,32.4677,57,5/3/2014 14:03,0,0,,0,1,1,0,,,ILVO,2335,1071.765,4.429999828,2.940000057,1.909999967,0.74000001,3.49000001,13.5,-99.71080859,32.46767406
64,Hickory,Pecan,Carya illinoinensis,19,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"epicormic sprouts, drought damage",Hardin Administration Building,4,,,0,-99.711,32.4676,58,5/3/2014 14:03,0,0,,0,0,1,0,1,,CAIL,23460,10768.14,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71095879,32.4676288
65,Hickory,Pecan,Carya illinoinensis,18,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,1,0,0,"epicormic sprouts, drought damage",Hardin Administration Building,4,,,0,-99.7111,32.4675,59,5/3/2014 14:03,0,0,,1,0,1,0,1,,CAIL,21055,9664.245,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71108486,32.46754959
66,Hickory,Pecan,Carya illinoinensis,21,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,1,0,0,"epicormic sprouts, drought damage",Hardin Administration Building,4,,,0,-99.7112,32.4675,60,5/3/2014 14:03,0,0,,1,0,1,0,1,,CAIL,28660,13154.94,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71115996,32.46751565
68,Hickory,Pecan,Carya illinoinensis,19,5,2,1,2,1,0,,0,2,,1,,0,,,,,,,,0,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.7113,32.4676,62,5/3/2014 14:03,0,0,,0,0,1,0,1,,CAIL,23460,10768.14,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71123774,32.46759033
69,Hickory,Pecan,Carya illinoinensis,19,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.7113,32.4675,63,5/3/2014 14:03,0,0,,0,0,1,0,1,,CAIL,23460,10768.14,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71128602,32.46749755
70,Hickory,Pecan,Carya illinoinensis,13,4,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.711,32.4675,64,5/3/2014 14:03,0,0,,0,0,1,0,1,,CAIL,10980,5039.82,28.97999954,11.27999973,-3.599999905,3.630000114,63.81999969,104.0899963,-99.71095611,32.46752244
71,Hickory,Pecan,Carya illinoinensis,20,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.7111,32.4674,65,5/3/2014 14:03,0,0,,0,0,0,0,1,,CAIL,25995,11931.705,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71107145,32.46748397
72,Sycamore / Planetree,Sycamore,Platanus occidentalis,23,5,2,1,2,1,0,,0,2,,1,,0,,,,,,,,1,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.7109,32.4673,66,5/3/2014 14:03,0,0,,1,0,1,0,1,,PL3,34380,15780.42,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71091051,32.46733235
73,Sycamore / Planetree,Sycamore,Platanus occidentalis,20,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.711,32.4673,67,5/3/2014 14:03,0,0,,1,0,0,0,1,,PL3,25995,11931.705,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71100439,32.4673233
74,Hickory,Pecan,Carya illinoinensis,21,5,2,1,2,1,0,,0,2,,0,,0,,,,,,,,0,0,0,"epicormic sprouts, drought stress",Hardin Administration Building,4,,,0,-99.7112,32.4673,68,5/3/2014 14:03,0,0,,0,0,1,1,1,,CAIL,28660,13154.94,56.00999832,17.03000069,-9.739999771,5.369999886,83.25,151.9199982,-99.71114923,32.46731877
75,Hickory,Pecan,Carya illinoinensis,24,6,3,1,2,1,0,,0,2,,1,,0,,,,,,,,0,0,0,large wounds on trunk,Hardin Administration Building,4,,,0,-99.7108,32.4673,69,5/3/2014 14:03,0,0,,0,0,0,0,1,,CAIL,37435,17182.665,90.73999786,23.73999977,-18.53000069,7.210000038,99.58999634,202.75,-99.7107764,32.46733914
76,Baldcypress,Baldcypress,Taxodium distichum,4,2,0,1,2,3,0,,0,2,,1,,0,,,,,,,,0,0,0,,Hardin Administration Building,4,,,0,-99.7106,32.4674,70,5/3/2014 14:03,0,0,,0,0,0,0,1,,TADI,1035,475.065,2.390000105,1.720000029,0.300000012,0.50999999,15.07999992,20.01000023,-99.71059401,32.46740703
77,Baldcypress,Baldcypress,Taxodium distichum,3,2,0,1,2,3,0,,0,2,,0,,0,1,,0,,,,,0,0,0,,Hardin Administration Building,4,,,0,-99.7106,32.4671,71,5/3/2014 14:03,0,0,,0,0,1,0,0,,TADI,580,266.22,2.390000105,1.720000029,0.300000012,0.50999999,15.07999992,20.01000023,-99.71060206,32.46708342
